"Process Path","Work Pool","ExSD","Quantity"
"PPNonConTeamLift","PredictedCharge","2022-12-01 23:30","3"
"PPSingleMedium","PredictedCharge","2022-12-01 23:30","6222"
"PPNonCon","PredictedCharge","2022-12-01 23:30","58"
"PPMultiWrap","PredictedCharge","2022-11-30 23:00","2"
"PPMultiMedium","PredictedCharge","2022-11-30 23:00","520"
"PPSingleMedium","PredictedCharge","2022-11-30 23:00","1214"
"PPNonConTeamLift","PredictedCharge","2022-11-30 23:00","1"
"PPNonCon","PredictedCharge","2022-11-30 23:00","4"
"PPMultiMedium","PredictedCharge","2022-12-01 02:30","675"
"PPMultiWrap","PredictedCharge","2022-12-01 02:30","7"
"PPNonConTeamLift","PredictedCharge","2022-12-01 02:30","2"
"PPSingleMedium","PredictedCharge","2022-12-01 02:30","2238"
"PPNonCon","PredictedCharge","2022-12-01 02:30","9"
"PPSingleMedium","PredictedCharge","2022-12-01 18:45","54"
"PPMultiMedium","PredictedCharge","2022-12-01 18:45","6"
"PPNonCon","PredictedCharge","2022-12-01 18:45","0"
"PPMultiWrap","PredictedCharge","2022-12-01 18:45","0"
"PPMultiMedium","PredictedCharge","2022-11-30 23:30","1844"
"PPMultiWrap","PredictedCharge","2022-11-30 23:30","11"
"PPNonConTeamLift","PredictedCharge","2022-11-30 23:30","0"
"PPSingleMedium","PredictedCharge","2022-11-30 23:30","5016"
"PPNonCon","PredictedCharge","2022-11-30 23:30","36"
"PPSingleMedium","PredictedCharge","2022-12-01 19:15","1167"
"PPNonConTeamLift","PredictedCharge","2022-12-01 19:15","1"
"PPNonCon","PredictedCharge","2022-12-01 19:15","3"
"PPMultiMedium","PredictedCharge","2022-12-01 19:15","457"
"PPMultiWrap","PredictedCharge","2022-12-01 19:15","3"
"PPMultiWrap","PredictedCharge","2022-12-01 03:30","1"
"PPSingleMedium","PredictedCharge","2022-12-01 03:30","1386"
"PPMultiMedium","PredictedCharge","2022-12-01 03:30","367"
"PPNonCon","PredictedCharge","2022-12-01 03:30","10"
"PPMultiMedium","PredictedCharge","2022-11-30 18:45","1"
"PPSingleMedium","PredictedCharge","2022-11-30 18:45","5"
"PPNonCon","PredictedCharge","2022-11-30 18:45","0"
"PPNonConTeamLift","PredictedCharge","2022-12-01 19:45","1"
"PPSingleMedium","PredictedCharge","2022-12-01 19:45","2767"
